line number,contest name,choice name,party name,total votes,percent of votes,registered voters,ballots cast,num Precinct total,num Precinct rptg,over votes,under votes
1,Presidential Electors (Vote For 1),DEM Joseph R. Biden/Kamala D. Harris,DEM,415861,59.33,942851,0,1323,1323,0,0
2,Presidential Electors (Vote For 1),REP Donald J. Trump/Mike R. Pence,REP,274348,39.14,942851,0,1323,1323,0,0
3,Presidential Electors (Vote For 1),LIB Jo Jorgensen/Jeremy Spike Cohen,LIB,8079,1.15,942851,0,1323,1323,0,0
4,Presidential Electors (Vote For 1),Write-in,NON,2691,0.38,942851,0,1323,1323,0,0
5,Attorney General (Vote For 1),DEM Josh Shapiro,DEM,428076,62.08,942851,0,1323,1323,0,0
6,Attorney General (Vote For 1),REP Heather Heidelbaugh,REP,239110,34.67,942851,0,1323,1323,0,0
7,Attorney General (Vote For 1),LIB Daniel Wassmer,LIB,13127,1.9,942851,0,1323,1323,0,0
8,Attorney General (Vote For 1),GRN Richard L. Weiss,GRN,8844,1.28,942851,0,1323,1323,0,0
9,Attorney General (Vote For 1),Write-in,NON,428,0.06,942851,0,1323,1323,0,0
10,Auditor General (Vote For 1),DEM Nina Ahmad,DEM,383284,56.25,942851,0,1323,1323,0,0
11,Auditor General (Vote For 1),REP Timothy DeFoor,REP,267618,39.27,942851,0,1323,1323,0,0
12,Auditor General (Vote For 1),LIB Jennifer Moore,LIB,20374,2.99,942851,0,1323,1323,0,0
13,Auditor General (Vote For 1),GRN Olivia Faison,GRN,9540,1.4,942851,0,1323,1323,0,0
14,Auditor General (Vote For 1),Write-in,NON,588,0.09,942851,0,1323,1323,0,0
15,State Treasurer (Vote For 1),DEM Joe Torsella,DEM,390040,57.34,942851,0,1323,1323,0,0
16,State Treasurer (Vote For 1),REP Stacy L. Garrity,REP,262785,38.63,942851,0,1323,1323,0,0
17,State Treasurer (Vote For 1),LIB Joe Soloski,LIB,16556,2.43,942851,0,1323,1323,0,0
18,State Treasurer (Vote For 1),GRN Timothy Runkle,GRN,10290,1.51,942851,0,1323,1323,0,0
19,State Treasurer (Vote For 1),Write-in,NON,548,0.08,942851,0,1323,1323,0,0
20,Representative in Congress 17th District (Vote For 1),DEM Conor Lamb,DEM,172206,53.97,407276,0,493,493,0,0
21,Representative in Congress 17th District (Vote For 1),REP Sean Parnell,REP,146619,45.95,407276,0,493,493,0,0
22,Representative in Congress 17th District (Vote For 1),Write-in,NON,280,0.09,407276,0,493,493,0,0
23,Representative in Congress 18th District (Vote For 1),DEM Mike Doyle,DEM,256615,68.95,538277,0,832,832,0,0
24,Representative in Congress 18th District (Vote For 1),REP Luke Edison Negron,REP,114771,30.84,538277,0,832,832,0,0
25,Representative in Congress 18th District (Vote For 1),Write-in,NON,784,0.21,538277,0,832,832,0,0
26,Senator in the General Assembly 37th District (Vote For 1),DEM Pam Iovino,DEM,77165,49.14,198472,0,214,214,0,0
27,Senator in the General Assembly 37th District (Vote For 1),REP Devlin Robinson,REP,79730,50.77,198472,0,214,214,0,0
28,Senator in the General Assembly 37th District (Vote For 1),Write-in,NON,132,0.08,198472,0,214,214,0,0
29,Senator in the General Assembly 43rd District (Vote For 1),"DEM Jay Costa, Jr.",DEM,114000,97.43,201361,0,305,305,0,0
30,Senator in the General Assembly 43rd District (Vote For 1),Write-in,NON,3010,2.57,201361,0,305,305,0,0
31,Senator in the General Assembly 45th District (Vote For 1),DEM Jim Brewster,DEM,55638,52.58,146937,0,234,234,0,0
